# AlexData of ../../../../../../data/Kati/2014/8 jan 2014/ALEX d+a new 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=1.08672	MinS=0.750185	MaxPR=0.195964	MinPR=-0.1	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=1300	dutyCycleDex=0.547826	dutyCycleAex=0.452174	
# 778 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
40.4453	0.0016242	0.0109225	0.95269	68	61	3	0	4	0	-0.0018915	0.046875	0.941176	1	57695	57735	57695	20.1373
40.9002	0.0017199	0.171248	0.048102	44	2	2	0	40	-0.0030568	-0.0020409	0.5	0.0909091	1	58452	58410	58410	0.0505327
41.3161	0.0023764	0.0057373	0.972779	101	93	4	0	4	0	-0.0023462	0.0412371	0.960396	1	58994	58993	58993	35.7369
42.4226	0.0035857	0.963616	0.0943135	74	1	9	0	64	0	-0.001221	0.9	0.135135	1	60722	60654	60654	0.104135
45.0845	0.0011463	-0.0120696	0.96477	40	37	1	0	2	0	-0.0026567	0.0263158	0.95	1	64415	64419	64415	27.3847
45.2589	0.0017554	0.00101509	0.56604	54	29	2	0	23	0	-0.0022828	0.0645161	0.574074	1	64704	64707	64704	1.30436
46.5052	0.0024246	0.115941	0.217916	48	9	3	1	35	0	-0.0001785	0.25	0.25	1	66350	66343	66343	0.278635
46.6545	0.0026025	-0.0174746	0.964326	103	96	2	0	5	0	-0.0014247	0.0204082	0.951456	1	66651	66650	66650	27.0318
46.7209	0.0019581	0.904181	0.156043	42	1	7	0	34	0	-0.0012541	0.875	0.190476	1	66851	66852	66851	0.184895
47.3894	0.0007137	1.11451	0.0289814	48	0	3	0	45	0	-0.0006627	1	0.0625	1	67918	67869	67869	0.0298464
50.0392	0.0019706	0.894056	0.0937754	62	1	7	0	54	-0.0049527	-0.0014073	0.875	0.129032	1	71407	71344	71344	0.103479
50.2485	0.0014718	0.0416034	0.962814	86	76	6	1	3	0	-0.0011032	0.0731707	0.953488	1	71660	71659	71659	25.8916
50.7009	0.0018343	0.145399	0.986916	66	53	11	1	1	0	-0.0001661	0.171875	0.969697	1	72315	72314	72314	75.4301
51.3268	0.0018324	1.26082	0.0265827	60	0	4	0	56	0	-0.0037489	1	0.0666667	1	73178	73112	73112	0.0273086
52.9408	0.0012569	0.695959	-0.0203794	46	0	1	1	44	0	-0.0007738	1	0.0217391	1	75255	75256	75255	-0.0199724
54.4399	0.0013378	0.865746	0.134596	42	1	6	0	35	0	-0.0014762	0.857143	0.166667	1	77184	77185	77184	0.15553
54.6831	0.0008541	0.00994235	1.01122	47	45	2	0	0	-0.0026149	-0.0040701	0.0425532	1	1	77508	77510	77508	-90.1636
55.2291	0.001779	0.0079026	1.00112	44	41	2	0	1	-0.0013931	-0.0008645	0.0465116	0.977273	1	78326	78325	78325	-895.087
55.2328	0.003553	0.0104057	0.592543	92	51	4	0	37	-5.8e-006	-0.0026767	0.0727273	0.597826	1	78372	78373	78372	1.45424
55.2419	0.0011132	0.810915	0.0784735	54	1	5	0	48	0	-0.0001786	0.833333	0.111111	1	78481	78480	78480	0.0851559
55.3053	0.0008426	-0.0366013	0.988202	45	44	0	0	1	0	-0.0017854	0	0.977778	1	78627	78671	78627	83.7588
57.3592	0.0012357	1.21156	0.0307729	43	0	3	0	40	0	-0.0013139	1	0.0697674	1	81517	81472	81472	0.0317499
58.1443	0.0017494	0.00374453	0.975632	81	75	3	1	2	-0.0005597	-0.0024813	0.0384615	0.962963	1	82524	82534	82524	40.0379
58.4965	0.0008626	-0.0096744	1.01337	40	39	1	0	0	-0.0001049	-0.0013386	0.025	1	1	83139	83145	83139	-75.8175
58.6679	0.0008425	-0.0126457	0.98847	46	44	1	0	1	0	-0.0038552	0.0222222	0.978261	1	83407	83443	83407	85.7303
58.6697	0.0008795	0.0347241	0.988972	46	42	3	0	1	-0.0001619	-0.0010296	0.0666667	0.978261	1	83454	83464	83454	89.6806
58.7411	0.0014775	0.36538	0.0261758	44	1	2	0	41	0	-0.0017093	0.666667	0.0681818	1	83593	83594	83593	0.0268794
58.952	0.0021076	0.00226611	0.939193	49	43	2	0	4	0	-0.0008428	0.0444444	0.918367	1	83952	83950	83950	15.4456
59.6152	0.0018583	0.0520004	0.489135	50	22	3	1	24	0	-0.0001796	0.12	0.5	1	84724	84725	84724	0.957466
60.335	0.0015562	0.000938478	0.940438	55	49	2	0	4	0	-0.0007757	0.0392157	0.927273	1	85789	85788	85788	15.7893
60.337	0.0037508	0.0339957	1.028	85	79	6	0	0	-0.0004763	-0.0002661	0.0705882	1	1	85844	85843	85843	-36.7156
61.4068	0.0018605	0.411202	0.167309	50	5	5	0	40	0	-4.23e-005	0.5	0.2	1	87562	87521	87521	0.200926
61.8326	0.0018126	-0.0231782	0.986256	72	69	1	0	2	-0.0032573	-0.006271	0.0142857	0.972222	1	88190	88189	88189	71.7585
62.0885	0.0021435	0.783963	0.0481635	56	1	4	1	50	0	-0.0024159	0.8	0.0892857	1	88654	88628	88628	0.0506006
62.0973	0.0011841	2.2036	0.00505923	44	0	2	0	42	0	-2.58e-005	1	0.0454545	1	88737	88692	88692	0.00508495
62.4183	0.0017854	0.898399	0.148409	44	1	7	0	36	0	-3.14e-005	0.875	0.181818	1	89200	89182	89182	0.174272
63.1877	0.0014235	0.637991	0.0399883	51	1	3	0	47	0	-0.0006932	0.75	0.0784314	1	90351	90312	90312	0.0416539
63.1917	0.0025497	0.530251	0.0338299	97	2	5	0	90	0	-0.0008096	0.714286	0.0721649	1	90381	90383	90381	0.0350145
64.4225	0.0023266	0.062754	0.968358	88	76	8	0	4	-1.02e-005	-0.0018599	0.0952381	0.954545	1	92180	92190	92180	30.6032
67.5816	0.0020339	-0.0223931	0.919728	51	45	1	0	5	0	-0.0005176	0.0217391	0.901961	1	96483	96482	96482	11.4576
67.7377	0.0010008	1.5185	0.0108944	40	0	2	0	38	0	-0.0004374	1	0.05	1	96814	96774	96774	0.0110144
68.1961	0.0027258	0.855338	0.0456646	68	1	5	0	62	0	-0.000226	0.833333	0.0882353	1	97423	97398	97398	0.0478496
69.4992	0.0037338	0.00452029	0.990892	95	88	4	0	3	0	-0.0001939	0.0434783	0.968421	1	99336	99335	99335	108.795
69.9204	0.0008329	-0.0108427	0.935528	41	37	1	0	3	0	-0.0019406	0.0263158	0.926829	1	99998	99997	99997	14.5105
70.3958	0.0028704	0.906816	0.0777154	58	1	6	0	51	-0.0111515	-0.0010879	0.857143	0.12069	1	100860	100785	100785	0.084264
72.2238	0.0018158	0.0422719	0.820937	59	44	4	0	11	0	-0.0004321	0.0833333	0.813559	1	103167	103165	103165	4.58462
72.4677	0.0016398	0.87492	0.0719357	76	1	7	0	68	0	-7.19e-005	0.875	0.105263	1	103681	103620	103620	0.0775115
72.4862	0.0012391	-0.0107143	1.00846	90	88	2	0	0	-5.3e-006	-0.0021032	0.0222222	1	1	103740	103783	103740	-119.177
72.5094	0.0006338	-0.0114079	0.893277	45	39	1	1	4	-0.0007509	-0.0016136	0.025	0.888889	1	103930	103935	103930	8.37005
72.9896	0.001412	0.323336	0.0863994	49	3	3	0	43	0	-0.0012163	0.5	0.122449	1	104569	104568	104568	0.0945703
73.0317	0.0014264	0.731638	0.0433715	63	1	4	0	58	0	-0.0003696	0.8	0.0793651	1	104701	104692	104692	0.0453379
73.4879	0.0019912	0.0259975	0.942126	88	77	5	0	6	0	-0.0001388	0.0609756	0.931818	1	105431	105429	105429	16.2788
73.8745	0.0052685	0.807723	0.0444289	111	2	8	0	101	0	-1.53e-005	0.8	0.0900901	1	106063	106045	106045	0.0464946
73.8859	0.0015911	0.424742	0.0301112	41	1	2	1	37	0	-0.0003926	0.666667	0.0731707	1	106166	106167	106166	0.031046
74.8707	0.0006983	1.30583	0.0121631	42	0	2	0	40	0	-0.0011833	1	0.047619	1	107647	107605	107605	0.0123128
75.0739	0.002166	0.348201	-0.0126647	60	0	2	0	58	0	-0.000147	1	0.0333333	1	108025	107957	107957	-0.0125063
77.6524	0.0023263	0.015966	0.736514	87	60	4	0	23	-0.0013807	-0.0014943	0.0625	0.735632	1	111455	111454	111454	2.79527
77.6563	0.0019798	-0.143324	0.279038	59	18	0	1	40	0	-0.0015606	0	0.305085	1	111541	111542	111541	0.387035
79.009	0.0023489	-0.0408245	1.00618	66	65	0	0	1	-2.41e-005	-0.0039759	0	0.984848	1	113325	113389	113325	-162.756
79.7089	0.0016052	0.000675583	0.979585	55	51	2	0	2	-0.0006786	-0.0034124	0.0377358	0.963636	1	114446	114452	114446	47.9842
81.2057	0.0020194	1.45088	0.0253162	41	0	3	0	38	0	-1.03e-005	1	0.0731707	1	116851	116787	116787	0.0259738
81.2095	0.0019003	0.939167	0.179115	58	1	11	1	45	0	-0.0001757	0.916667	0.206897	1	116851	116829	116829	0.218198
81.9483	0.0018372	1.04143	0.144793	69	0	12	0	57	0	-0.0006143	1	0.173913	1	117951	117871	117871	0.169308
82.121	0.0032154	1.1778	0.0416107	99	0	8	1	90	0	-0.000399	1	0.0808081	1	118253	118229	118229	0.0434173
82.2285	0.0028177	0.942576	0.107943	69	1	9	0	59	0	-0.0001101	0.9	0.144928	1	118506	118481	118481	0.121005
82.6811	0.0036143	0.957329	0.0514551	111	1	9	1	100	-0.0036061	-0.0012107	0.9	0.0900901	1	119205	119174	119174	0.0542463
83.1459	0.0017287	1.17948	0.050226	44	0	4	1	39	0	-6.9e-006	1	0.0909091	1	119869	119868	119868	0.0528821
84.1566	0.0026574	0.874333	0.204732	60	2	12	1	45	-0.0017551	-0.0005698	0.857143	0.233333	1	121353	121324	121324	0.257438
84.1619	0.0016633	0.833596	0.0809129	51	1	5	0	45	0	-3.6e-006	0.833333	0.117647	1	121406	121388	121388	0.0880362
84.7614	0.0016212	-0.0203435	0.999169	60	58	1	0	1	-0.0085873	-0.0064771	0.0169492	0.983333	1	122337	122336	122336	1201.81
84.7662	0.0011358	-0.0146418	0.951121	49	45	1	2	1	-0.0002318	-0.0046881	0.0217391	0.938776	1	122399	122412	122399	19.4587
85.0686	0.0024896	0.0565827	1.01181	43	38	4	0	1	-0.0003405	-0.0003878	0.0952381	0.976744	1	122848	122846	122846	-85.6954
85.3956	0.0017882	0.0315414	0.952786	64	56	4	1	3	-0.0008006	-0.001898	0.0666667	0.9375	1	123415	123414	123414	20.1801
85.9015	0.0012767	1.72641	-0.0126482	83	1	1	1	80	0	-0.0015435	0.5	0.0240964	1	124172	124168	124168	-0.0124902
86.1042	0.0035904	0.0164561	1.00125	95	88	5	0	2	0	-0.0011583	0.0537634	0.978947	1	124526	124525	124525	-802.426
88.3767	0.0019423	-0.0177268	0.977288	41	38	1	0	2	-0.0007202	-0.0029475	0.025641	0.95122	1	127682	127680	127680	43.0294
88.7579	0.0010289	0.0196712	0.975199	59	54	3	0	2	-0.0002297	-0.0014933	0.0526316	0.966102	1	128230	128240	128230	39.3206
88.8027	0.0009278	0.0461504	0.954277	55	48	4	2	1	-0.0003422	-0.0009049	0.0769231	0.945455	1	128353	128358	128353	20.8709
88.8046	0.0029909	-0.00729256	0.918821	57	49	2	0	6	-0.000641	-0.0010918	0.0392157	0.894737	1	128409	128408	128408	11.3184
89.155	0.0012195	0.0548982	0.99363	47	42	4	0	1	0	-0.0023027	0.0869565	0.978723	1	128881	128885	128881	155.977
89.9667	0.0013781	-0.0144835	0.969755	42	39	1	0	2	0	-0.0016142	0.025	0.952381	1	130161	130160	130160	32.0638
90.7321	0.0012255	0.77499	0.0809026	43	1	4	0	38	0	-0.000257	0.8	0.116279	1	131185	131146	131146	0.0880239
90.7727	0.0018017	0.0559592	1.00141	45	40	4	0	1	0	-0.000852	0.0909091	0.977778	1	131258	131256	131256	-710.208
91.1918	0.0010468	0.0618163	0.990779	44	39	4	0	1	0	-5.48e-005	0.0930233	0.977273	1	131917	131916	131916	107.448
91.2697	0.0018476	0.87774	0.0636963	82	1	7	1	73	0	-0.0012096	0.875	0.097561	1	132058	132059	132058	0.0680296
91.2729	0.0018243	0.791163	0.0682244	46	1	4	0	41	0	-0.0001824	0.8	0.108696	1	132180	132140	132140	0.0732198
92.4021	0.0016901	0.829257	0.0723392	55	1	5	0	49	0	-0.0014956	0.833333	0.109091	1	133869	133870	133869	0.0779802
94.2649	0.0019769	0.0415935	0.953098	40	34	3	1	2	-0.0004001	-0.0030161	0.0810811	0.925	1	136237	136239	136237	20.3212
94.7066	0.0016166	1.0494	0.142476	52	0	9	0	43	0	-0.0009184	1	0.173077	1	136908	136851	136851	0.166147
96.978	0.0009166	0.00510265	0.990871	53	50	2	0	1	0	-0.0019039	0.0384615	0.981132	1	139872	139896	139872	108.543
97.2434	0.0013949	0.454409	0.123453	58	4	5	0	49	-0.0004442	-0.0014161	0.555556	0.155172	1	140281	140282	140281	0.14084
99.5558	0.0016046	-0.000486648	0.980317	57	53	2	0	2	-0.0009545	-0.0004967	0.0363636	0.964912	1	143576	143575	143575	49.8042
100.203	0.0015115	0.00119074	0.962908	88	81	3	0	4	-0.0003853	-0.0011861	0.0357143	0.954545	1	144393	144391	144391	25.9597
100.333	0.0014114	0.288482	0.132042	42	4	3	0	35	0	-0.0003421	0.428571	0.166667	1	144639	144640	144639	0.152129
100.718	0.0051475	10.4639	0.00138576	92	0	5	1	86	0	-2.92e-005	1	0.0543478	1	145292	145231	145231	0.00138768
101.938	0.002243	1.06041	0.104832	80	0	11	0	69	0	-0.000178	1	0.1375	1	147206	147127	147127	0.117109
102.682	0.0010611	0.0290927	0.952196	51	45	3	1	2	-0.0018523	-0.0006656	0.0625	0.941176	1	148298	148297	148297	19.9189
103.184	0.0008141	-0.774366	0.0122576	40	1	1	0	38	0	-0.0003694	0.5	0.05	1	149098	149072	149072	0.0124097
104.622	0.0029741	-0.00607901	0.935392	55	48	2	0	5	0	-0.0003247	0.04	0.909091	1	151055	151054	151054	14.478
105.281	0.0021926	1.26617	0.0414095	46	0	4	0	42	0	-1.48e-005	1	0.0869565	1	152127	152073	152073	0.0431983
107.337	0.0011669	-0.014449	0.99277	46	44	1	0	1	-0.0002003	-0.0010136	0.0222222	0.978261	1	155003	155008	155003	137.321
108.018	0.0020115	0.036239	1.00342	57	52	4	0	1	-0.0004429	-0.0045177	0.0714286	0.982456	1	155915	155914	155914	-293.345
108.182	0.0017923	0.00270403	1.00069	82	78	3	0	1	0	-0.001074	0.037037	0.987805	1	156208	156224	156208	-1453.07
108.281	0.0011743	0.0436257	0.940231	41	35	3	0	3	-0.0010285	-0.0016149	0.0789474	0.926829	1	156468	156477	156468	15.7311
108.305	0.0041195	0.0261098	1.00473	96	88	6	0	2	0	-2.4e-006	0.0638298	0.979167	1	156589	156588	156588	-212.208
109.713	0.0011843	0.12902	0.965465	40	32	6	0	2	0	-0.0022886	0.157895	0.95	1	158430	158429	158429	27.9559
109.867	0.00192	0.0373419	0.951821	42	36	3	0	3	-0.0007792	-0.0017578	0.0769231	0.928571	1	158664	158662	158662	19.7559
111.164	0.0016111	1.19014	0.0362785	53	0	4	0	49	0	-0.000417	1	0.0754717	1	160532	160469	160469	0.0376442
111.167	0.0014312	0.374609	0.0493808	58	2	3	0	53	0	-0.0002668	0.6	0.0862069	1	160532	160533	160532	0.051946
111.17	0.0018169	0.425641	0.061366	49	2	3	0	44	-0.001834	-0.0015529	0.6	0.102041	1	160607	160591	160591	0.0653779
111.233	0.0007464	0.0198482	0.906497	40	34	2	0	4	0	-0.0003693	0.0555556	0.9	1	160733	160730	160730	9.6949
112.096	0.0009331	-0.0384407	0.946232	48	45	0	0	3	-0.0009203	-0.0051771	0	0.9375	1	161969	161968	161968	17.5984
112.793	0.0012679	0.393509	0.0290575	44	1	2	1	40	-0.0002964	-0.001658	0.666667	0.0681818	1	162880	162881	162880	0.0299271
113.164	0.001617	2.50969	-0.0079414	58	1	1	0	56	0	-0.000612	0.5	0.0344828	1	163437	163391	163391	-0.00787883
114.68	0.0013952	0.053419	0.973917	48	42	4	0	2	-0.001726	-0.0023452	0.0869565	0.958333	1	165426	165425	165425	37.3395
115.309	0.0027655	0.861726	0.0490952	65	1	5	0	59	0	-0.0007662	0.833333	0.0923077	1	166337	166311	166311	0.05163
115.536	0.0036123	1.15632	0.0418745	125	0	10	0	115	0	-7.06e-005	1	0.08	1	166863	166682	166682	0.0437046
115.54	0.0048932	0.782869	0.0300289	156	2	9	0	145	0	-0.000377	0.818182	0.0705128	1	166863	166807	166807	0.0309585
115.737	0.0021715	-0.00194924	0.969282	56	51	2	1	2	-0.000122	-0.0014839	0.0377358	0.946429	1	167198	167223	167198	31.554
116.824	0.0023383	0.838161	0.149816	66	2	10	0	54	0	-0.0002606	0.833333	0.181818	1	168703	168702	168702	0.176216
119.701	0.0032662	-0.0550164	0.878322	55	47	0	0	8	-0.0009782	-0.0006534	0	0.854545	1	172717	172716	172716	7.21839
120.107	0.0017442	0.127489	0.0145048	53	1	2	1	49	-0.0023646	-0.0011537	0.666667	0.0566038	1	173323	173272	173272	0.0147182
120.247	0.0025841	0.010079	1.00887	63	59	3	0	1	-1.29e-005	-0.0006431	0.0483871	0.984127	1	173529	173534	173529	-113.763
121.685	0.0014537	0.0332557	0.996556	45	41	3	0	1	-0.0004683	-0.0020991	0.0681818	0.977778	1	175531	175547	175531	289.32
122.053	0.0012012	1.93222	-0.0201949	42	1	0	0	41	0	-0.0008703	0	0.0238095	1	176041	176042	176041	-0.0197952
122.532	0.002024	0.0382924	1.00516	40	36	3	0	1	0	-0.001034	0.0769231	0.975	1	176888	176894	176888	-194.899
122.583	0.0011967	1.12436	0.0424891	51	0	4	0	47	0	-3.33e-005	1	0.0784314	1	177113	177060	177060	0.0443746
125.955	0.0016374	1.19132	0.0373919	52	0	4	0	48	0	-0.0014883	1	0.0769231	1	181629	181575	181575	0.0388444
127.353	0.001606	0.935834	0.13265	81	1	12	1	67	-0.0036397	-0.0031643	0.923077	0.160494	1	183605	183569	183569	0.152937
127.585	0.0020879	0.113664	1.00587	42	35	6	0	1	-0.0003908	-0.0028739	0.146341	0.97619	1	184058	184057	184057	-171.499
128.323	0.0009332	-0.0131487	0.989666	46	44	1	0	1	-3.99e-005	-0.0016846	0.0222222	0.978261	1	185048	185051	185048	95.7653
129.614	0.002302	0.105061	0.78363	53	35	6	0	12	0	-0.0002182	0.146341	0.773585	1	186868	186867	186867	3.62171
