ALV-5000/E-WIN Data
Date :	"19.08.2013"
Time :	"13:39:35"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     488.00000
Angle [°]       :	       0.00000
Duration [s]    :	        10
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     117.79320
MeanCR1 [kHz]   :	       0.00000

"Correlation"
       3.51563	     105.08327
       3.55469	     127.82690
       3.59375	     113.74384
       3.63281	      87.19675
       3.67188	     116.28804
       3.71094	     105.54585
       3.75000	     102.10218
       3.78906	     122.86698
       3.82813	     105.54585
       3.86719	     119.19202
       3.90625	     116.57072
       3.94531	     138.69757
       3.98438	     129.65152
       4.02344	      94.67516
       4.06250	     103.46423
       4.10156	     110.50576
       4.14063	      89.61246
       4.17969	     106.77940
       4.21875	     117.18750
       4.25781	     123.04688
       4.29688	     121.29935
       4.33594	     128.72636
       4.37500	     133.89186
       4.41406	     120.88816
       4.45313	     141.78146
       4.49219	     143.32339
       4.53125	      97.34786
       4.57031	     122.48150
       4.60938	     118.16406
       4.64844	     157.14948
       4.68750	     133.22369
       4.72656	     122.71279
       4.76563	     133.37788
       4.80469	      91.69408
       4.84375	     124.92290
       4.88281	     147.02406
       4.92188	     141.80716
       4.96094	     155.86452
       5.00000	     108.75822
       5.03906	     107.06209
       5.07813	      93.69860
       5.11719	     123.09827
       5.15625	     130.60239
       5.19531	     122.37870
       5.23438	      84.18997
       5.27344	     109.88898
       5.31250	     114.33492
       5.35156	     107.39618
       5.39063	     121.11945
       5.42969	      98.29873
       5.46875	     116.82772
       5.50781	     120.93956
       5.54688	      85.14083
       5.58594	     130.91078
       5.62500	     139.44286
       5.66406	     115.23438
       5.70313	     113.25555
       5.74219	      83.62459
       5.78125	     123.04688
       5.82031	     130.67949
       5.85938	     126.05367
       5.89844	     113.56394
       5.93750	     112.97286
       5.97656	     123.09827
       6.01563	     108.57833
       6.05469	     119.47472
       6.09375	     116.93051
       6.13281	     126.10506
       6.17188	     145.04523
       6.21094	     122.58430
       6.25000	     130.31970
       6.28906	     101.51111
       6.32813	     123.74075
       6.36719	     104.02961
       6.40625	     122.32731
       6.44531	     104.72348
       6.48438	     102.41057
       6.52344	     144.22287
       6.56250	     114.28352
       6.60156	      86.24589
       6.64063	      88.58450
       6.67969	      95.75452
       6.71875	     114.28352
       6.75781	     121.40214
       6.79688	     133.14659
       6.83594	     109.63200
       6.87500	     117.90707
       6.91406	     144.86534
       6.95313	     125.79667
       6.99219	      99.68648
       7.03125	     122.30161
       7.07031	     104.80058
       7.10938	     114.97739
       7.14844	     136.69305
       7.18750	     118.34396
       7.22656	     101.51111
       7.26563	     114.33492
       7.30469	     140.83060
       7.34375	     117.31600
       7.38281	     127.69840
       7.42188	     126.61904
       7.46094	     109.04092
       7.50000	     138.62048
       7.53906	     158.43442
       7.57813	     114.79749
       7.61719	     144.17146
       7.65625	     119.65461
       7.69531	     130.52528
       7.73438	      90.12644
       7.77344	     112.76727
       7.81250	      97.83614
       7.85156	     177.99136
       7.89063	     135.84499
       7.92969	      96.98808
       7.96875	     105.10896
       8.00781	     106.18832
       8.04688	     143.42619
       8.08594	     101.99939
       8.12500	      87.89063
       8.16406	      93.69860
       8.20313	     104.69778
       8.24219	     128.10959
       8.28125	      97.06518
       8.32031	     141.19038
       8.35938	     106.75370
       8.39844	      96.19141
       8.43750	     118.65234
       8.47656	     129.60013
       8.51563	      88.81579
       8.55469	     104.00391
       8.59375	      94.59807
       8.63281	      91.89967
       8.67188	     121.42784
       8.71094	     115.13158
       8.75000	     166.37541
       8.78906	     121.91612
       8.82813	     149.07999
       8.86719	     101.04852
       8.90625	     125.51398
       8.94531	      98.78701
       8.98438	      96.16571
       9.02344	      90.02364
       9.06250	     111.79071
       9.10156	     145.04523
       9.14063	     107.24198
       9.17969	     132.42702
       9.21875	     138.44058
       9.25781	     102.59046
       9.29688	      85.37212
       9.33594	     108.78393
       9.37500	     139.18585
       9.41406	     103.10445
       9.45313	     110.91695
       9.49219	     118.47245
       9.53125	     111.55942
       9.57031	     122.94408
       9.60938	     117.18750
       9.64844	     116.64783
       9.68750	     127.44141
       9.72656	     119.68031
       9.76563	     109.86328
       9.80469	     122.12171
