# AlexData of ../../../../../../data/Kati/2014/7 jan 2014/ALEX oligo1 10min.t3r
# BurstSearchParameters:	burstSearchMethodSingle=0	burstSearchMethodDual=2	channel selection=0	M=3	L=40	T=0.0005	LeeWinSize=8	LeeVar=5e-06	MaxIPT=0.00012	MinBurstrate=15000	MaxBurstrate=100000	MinBurstSize=40	MinBurstSizeDex=0	MinBurstSizeAex=0	MaxDuration=0.01	
# FRETparameters:	MaxS=0.798893	MinS=0.302952	MaxPR=0.919731	MinPR=0.491928	MaxTgTr=5	MinTgTr=-5	gamma=1	crosstalk=0.03	directExc=0.03	scaleDonor=1	bg_Dem_Dex=389.7	bg_Aem_Dex=471.18	bg_Dem_Aex=127.37	bg_Aem_Aex=700.31	dutyCycleDex=0.549987	dutyCycleAex=0.450013	
# 2885 bursts were analyzed.
# startTime	duration	proximityRatio	stoichiometryRatio	numberOfPhotons	n_Dem_Dex	n_Aem_Dex	n_Dem_Aex	n_Aem_Aex	durationDonor	durationAcceptor	proximityRatioRaw	stoichiometryRatioRaw	type	startIdxDonor	startIdxAcceptor	startIdx	stoichiometryFraction
24.0613	0.0016103	0.6743	0.66324	42	9	19	0	14	0	-0.0003871	0.678571	0.666667	1	51499	51498	51498	1.96947
24.4183	0.001964	1.23631	0.0394421	48	0	4	0	44	0	-0.0003353	1	0.0833333	1	52241	52193	52193	0.0410616
24.673	0.0015762	-0.00165152	0.992753	60	57	2	1	0	-0.0002976	-0.0033266	0.0338983	0.983333	1	52747	52749	52747	136.998
24.7426	0.0020372	0.748598	0.642712	68	11	33	0	24	0	-0.0001782	0.75	0.647059	1	53023	53018	53018	1.79886
25.4269	0.0024244	0.778378	0.382347	80	7	25	0	48	0	-0.0001386	0.78125	0.4	1	54317	54290	54290	0.619033
25.6031	0.0016594	1.33218	0.0270731	42	0	3	0	39	0	-0.0007908	1	0.0714286	1	54799	54757	54757	0.0278264
25.6659	0.0012835	0.829485	0.615716	95	10	49	0	36	0	-6.19e-005	0.830508	0.621053	1	54959	54958	54958	1.60224
26.1342	0.0014282	0.716241	0.781287	50	11	28	0	11	-0.0023825	-0.004144	0.717949	0.78	1	55735	55728	55728	3.57221
26.8588	0.0016538	0.70609	0.444731	61	8	20	0	33	-0.0009579	-0.0008567	0.714286	0.459016	1	57098	57096	57096	0.80093
26.9852	0.0023862	0.716011	0.519183	102	15	39	0	48	0	-0.0001528	0.722222	0.529412	1	57340	57336	57336	1.07979
26.9885	0.0030543	0.608836	0.62012	88	21	34	1	32	0	-0.0005028	0.618182	0.625	1	57446	57437	57437	1.63241
26.9944	0.0033741	0.654742	0.587116	165	33	65	1	66	0	-0.001017	0.663265	0.593939	1	57535	57526	57526	1.42199
27.6247	0.0024634	0.809382	0.376515	94	7	30	0	57	0	-0.0001834	0.810811	0.393617	1	58776	58754	58754	0.603888
27.797	0.0009121	0.710113	0.647445	43	8	20	1	14	0	-4.04e-005	0.714286	0.651163	1	59083	59080	59080	1.83643
27.9039	0.0014275	0.601778	0.472761	70	13	21	0	36	0	-0.0002639	0.617647	0.485714	1	59266	59260	59260	0.896672
27.9405	0.0026597	0.7615	0.501414	125	15	49	0	61	0	-0.0003974	0.765625	0.512	1	59392	59393	59392	1.00567
27.9456	0.0017868	0.828506	0.418981	67	5	24	1	37	-0.0008498	-0.0002438	0.827586	0.432836	1	59527	59520	59520	0.721113
28.1142	0.0021839	1.05319	0.182919	51	0	11	0	40	0	-0.0008177	1	0.215686	1	60024	59961	59961	0.223869
28.4061	0.0009797	-0.0139407	0.961469	46	43	1	0	2	0	-0.0004427	0.0227273	0.956522	1	60614	60615	60614	24.953
28.9661	0.0024536	0.660842	0.52316	45	8	16	1	20	0	-0.000301	0.666667	0.533333	1	61546	61543	61543	1.09714
29.1716	0.0021829	0.112228	0.856815	47	34	6	0	7	0	-0.000442	0.15	0.851064	1	62004	62003	62003	5.98396
29.1803	0.002026	-0.0538216	0.329077	42	14	1	1	26	-0.0002951	-0.002178	0.0666667	0.357143	1	62083	62089	62083	0.490483
29.2966	0.0015105	0.086701	0.606581	47	25	4	0	18	0	-2.86e-005	0.137931	0.617021	1	62412	62393	62393	1.54182
29.6659	0.0042374	0.697701	0.59296	265	47	112	0	106	0	-0.0003542	0.704403	0.6	1	63129	63130	63129	1.45676
29.7479	0.0008146	0.670226	0.455948	47	7	15	1	24	0	-0.0006406	0.681818	0.468085	1	63495	63496	63495	0.838061
29.8069	0.0022851	0.641634	0.722418	98	25	46	0	27	-0.0012735	-0.0019974	0.647887	0.72449	1	63684	63683	63683	2.60254
29.8253	0.0020126	0.703453	0.488947	76	11	27	1	37	-0.0006696	-0.0005874	0.710526	0.5	1	63823	63821	63821	0.956744
30.1531	0.001289	0.6011	0.576459	53	12	19	0	22	0	-0.0003857	0.612903	0.584906	1	64617	64605	64605	1.36105
30.2378	0.0024241	0.54796	0.617723	117	32	41	1	43	0	-0.0002531	0.561644	0.623932	1	64831	64830	64830	1.6159
30.346	0.0008894	0.351381	0.725118	59	27	16	1	15	-0.0014618	-0.0008765	0.372093	0.728814	1	65153	65152	65152	2.63793
30.5034	0.0013999	0.641263	0.608613	65	14	26	0	25	0	-0.0005849	0.65	0.615385	1	65416	65411	65411	1.55502
30.5062	0.0038664	0.701596	0.56093	144	24	58	0	62	0	-1.74e-005	0.707317	0.569444	1	65512	65480	65480	1.27754
30.5219	0.0043576	0.610335	0.664429	114	29	47	1	37	0	-0.0019008	0.618421	0.666667	1	65650	65651	65650	1.97999
30.7438	0.0011407	0.421659	0.524195	71	21	17	1	32	-0.0010345	-0.0007165	0.447368	0.535211	1	66154	66150	66150	1.1017
31.5261	0.0032547	0.627644	0.534871	204	40	71	1	92	0	-0.0013891	0.63964	0.544118	1	67467	67463	67463	1.14994
32.1344	0.0013175	0.568413	0.626268	49	13	18	0	18	0	-0.0001854	0.580645	0.632653	1	68729	68727	68727	1.67572
32.4236	0.0012536	0.0898101	0.967676	52	44	6	0	2	0	-0.0006572	0.12	0.961538	1	69262	69265	69262	29.9367
32.4501	0.002078	0.780702	0.593546	45	6	21	0	18	0	-4.7e-006	0.777778	0.6	1	69426	69416	69416	1.4603
32.9379	0.002349	0.968957	0.353446	48	1	17	0	30	0	-2.51e-005	0.944444	0.375	1	70428	70389	70389	0.54666
33.026	0.0025938	0.570798	0.543482	74	17	24	0	33	0	-0.000307	0.585366	0.554054	1	70624	70621	70621	1.19049
33.2135	0.0026889	0.615576	0.409977	193	30	52	0	111	0	-3.24e-005	0.634146	0.42487	1	71075	71069	71069	0.694851
33.406	0.001318	0.654675	0.434091	40	6	12	0	22	0	-0.0010919	0.666667	0.45	1	71675	71674	71674	0.767069
33.8312	0.0014197	0.765743	0.540538	71	9	30	0	32	0	-0.0007753	0.769231	0.549296	1	72657	72641	72641	1.17646
34.0462	0.0026536	0.762672	0.524834	71	9	29	0	33	0	-0.0013344	0.763158	0.535211	1	73105	73106	73105	1.10453
34.3468	0.0017854	0.652199	0.426681	109	16	32	1	60	-0.0005125	-0.0002976	0.666667	0.440367	1	73634	73629	73629	0.744228
34.4247	0.0013429	0.737246	0.553865	48	7	20	0	21	0	-0.000382	0.740741	0.5625	1	73896	73881	73881	1.24147
35.0943	0.0009673	0.864631	0.656805	44	4	25	1	14	0	-0.0020528	0.862069	0.659091	1	75098	75099	75098	1.91379
35.2916	0.0013906	0.687754	0.487529	46	7	16	0	23	0	-0.0018141	0.695652	0.5	1	75557	75541	75541	0.95133
35.2968	0.0019818	0.493869	0.529216	61	16	17	0	28	-0.0008149	-0.0006503	0.515152	0.540984	1	75611	75607	75607	1.12412
35.3213	0.001558	0.726293	0.139624	46	2	6	0	38	0	-0.0003025	0.75	0.173913	1	75781	75758	75758	0.162283
35.4538	0.0027128	0.949864	0.156068	57	1	10	0	46	0	-3.5e-005	0.909091	0.192982	1	76048	76046	76046	0.184929
35.6855	0.0024374	0.749566	0.398044	99	10	31	0	58	0	-3.41e-005	0.756098	0.414141	1	76483	76472	76472	0.661252
36.3787	0.0021294	0.810253	0.441194	57	5	21	0	31	0	-0.002289	0.807692	0.45614	1	77620	77621	77620	0.789531
36.3823	0.0037403	0.571027	0.368089	95	15	22	0	58	0	-0.0003273	0.594595	0.389474	1	77685	77679	77679	0.582502
36.8038	0.0029586	0.75505	0.0769402	77	2	7	1	67	0	-0.0003395	0.777778	0.116883	1	78485	78462	78462	0.0833534
37.2259	0.0021202	0.81353	0.450115	69	6	26	0	37	0	-0.0001593	0.8125	0.463768	1	79327	79309	79309	0.818561
37.3376	0.0019638	0.719807	0.624858	92	16	42	0	34	0	-0.0005749	0.724138	0.630435	1	79595	79596	79595	1.66565
37.3437	0.0032158	0.520252	0.602536	92	26	30	3	33	0	-0.0003602	0.535714	0.608696	1	79724	79723	79723	1.51595
37.6005	0.0020291	1.43862	0.0266278	40	0	3	1	36	-0.0055993	-0.0013917	1	0.075	1	80338	80294	80294	0.0273563
37.718	0.0020058	0.68838	0.484647	127	19	44	0	64	0	-8.71e-005	0.698413	0.496063	1	80609	80601	80601	0.940416
37.8185	0.0019971	0.675349	0.604938	103	20	43	0	40	0	-0.000417	0.68254	0.61165	1	80968	80967	80967	1.53125
38.0142	0.0018467	0.776136	0.727205	55	9	31	0	15	0	-0.0011664	0.775	0.727273	1	81404	81388	81388	2.66576
38.1054	0.0042181	0.687033	0.601063	204	38	86	0	80	0	-0.0010312	0.693548	0.607843	1	81612	81606	81606	1.50666
38.3339	0.0008023	0.599767	0.554463	55	12	19	0	24	-0.0005617	-0.000849	0.612903	0.563636	1	82224	82213	82213	1.24448
38.3415	0.0009859	0.694507	0.632865	47	9	21	0	17	0	-0.0004865	0.7	0.638298	1	82291	82278	82278	1.72379
38.429	0.0012029	0.34286	0.648058	58	24	14	0	20	0	-0.000202	0.368421	0.655172	1	82608	82607	82607	1.84138
38.432	0.0052595	0.323668	0.758159	419	209	110	1	99	0	-0.000163	0.344828	0.761337	1	82675	82672	82672	3.13495
38.8137	0.0030174	-0.00918897	0.963987	61	56	2	0	3	0	-0.0009669	0.0344828	0.95082	1	83799	83804	83799	26.7679
39.2606	0.0022517	0.108829	0.248537	46	10	3	0	33	0	-9e-007	0.230769	0.282609	1	84741	84710	84710	0.330738
39.3027	0.0016127	1.0573	0.129655	49	0	8	0	41	0	-0.0003804	1	0.163265	1	84904	84852	84852	0.14897
39.3652	0.0009653	0.594163	0.110143	42	2	4	0	36	0	-0.0014052	0.666667	0.142857	1	84978	84979	84978	0.123776
40.0236	0.0020047	0.917135	0.1521	48	1	8	0	39	-0.0097828	-0.0031556	0.888889	0.1875	1	86260	86210	86210	0.179385
40.1074	0.0006946	0.692077	0.714537	46	10	23	0	13	0	-0.0001418	0.69697	0.717391	1	86438	86435	86435	2.50308
40.3366	0.0013464	0.765085	0.563769	91	12	40	0	39	0	-0.0001097	0.769231	0.571429	1	86946	86934	86934	1.29237
40.4209	0.0020666	0.722282	0.540705	80	12	32	0	36	0	-0.0004779	0.727273	0.55	1	87265	87266	87265	1.17725
40.6298	0.0028674	0.841034	0.627668	57	6	30	0	21	0	-0.0004004	0.833333	0.631579	1	87654	87644	87644	1.68577
41.0258	0.0032449	0.768579	0.652679	119	18	60	1	40	0	-0.0001219	0.769231	0.655462	1	88434	88427	88427	1.87918
41.0325	0.0014063	0.743124	0.702292	95	17	50	0	28	0	-0.0001783	0.746269	0.705263	1	88564	88559	88559	2.359
41.1563	0.0015566	0.699874	0.558027	60	10	24	0	26	0	-0.000456	0.705882	0.566667	1	88878	88879	88878	1.26258
41.4803	0.0017938	0.711524	0.602255	46	8	20	0	18	-0.0004546	-0.0010649	0.714286	0.608696	1	89616	89617	89616	1.51418
41.4837	0.0016303	0.718717	0.431694	74	9	24	0	41	0	-0.0002677	0.727273	0.445946	1	89677	89665	89665	0.759616
41.7747	0.0025949	0.702004	0.509075	79	12	29	3	35	0	-0.0002604	0.707317	0.518987	1	90308	90291	90291	1.03697
41.8162	0.0038266	0.825701	0.515888	141	13	61	1	66	-0.0019759	-0.001379	0.824324	0.524823	1	90493	90469	90469	1.06564
42.2425	0.0016478	-0.0461525	0.911807	42	38	0	0	4	0	-3.19e-005	0	0.904762	1	91421	91420	91420	10.3387
42.7656	0.0012796	0.758946	0.475823	43	5	16	0	22	-0.0007473	-0.0013566	0.761905	0.488372	1	92167	92162	92162	0.907752
43.0266	0.0014221	0.54248	0.556939	60	15	19	0	26	0	-0.0007096	0.558824	0.566667	1	92783	92778	92778	1.25702
43.4124	0.0008047	1.06839	0.0642194	41	0	4	0	37	0	-0.0002403	1	0.097561	1	94020	93963	93963	0.0686265
43.414	0.0022397	0.895906	0.0720911	73	1	7	0	65	0	-0.0003834	0.875	0.109589	1	94020	94003	94003	0.077692
43.5334	0.0015424	0.746148	0.428688	45	5	15	0	25	-0.0008324	-0.0002008	0.75	0.444444	1	94290	94288	94288	0.750358
43.8842	0.0010338	0.563102	0.628087	52	14	19	0	19	0	-0.0005222	0.575758	0.634615	1	94882	94883	94882	1.6888
